backend,function,time_total_sec,prim_calls,percall_avg_sec,peak_memory_MB
pandas,top_active_dates,1.9767999580000004,2467239,8.012194838035555e-07,515.296875
pandas,top_emojis,1.716217833999996,2221381,7.725904894297719e-07,187.78125
pandas,top_mentioned_users,1.7407700409999984,2297830,7.575712916099096e-07,274.46875
polars,top_active_dates,0.7525279580000005,3302,0.00022790065354330724,751.40625
polars,top_emojis,0.10871033299999999,643,0.00016906739191290823,549.78125
polars,top_mentioned_users,0.35350737600000015,314366,1.1245089354446733e-06,1241.734375
duckdb,top_active_dates,0.8984623750000001,56,0.01604397098214286,1626.234375
duckdb,top_emojis,0.6463585009999999,704734,9.171666203134798e-07,534.25
duckdb,top_mentioned_users,0.40325033400000004,56,0.007200898821428573,847.6875
ijson,top_active_dates,2.749241084,4266721,6.443451737294282e-07,101.875
ijson,top_emojis,1.8525323750000002,552870,3.3507558286758192e-06,90.03125
ijson,top_mentioned_users,2.9202197910000005,4554635,6.411534164647662e-07,94.484375
